video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow
1_2022-09-02-09-59-29,5,10,FALSE,FALSE,FALSE,SCT,5000,FALSE,FALSE
1_2022-09-02-12-20-57,4,10,FALSE,FALSE,FALSE,FEW,5500,FALSE,FALSE
1_2022-09-02-12-53-38,6,10,FALSE,FALSE,FALSE,FEW,5500,FALSE,FALSE
1_2022-09-02-13-33-57,8,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-13-39-24,7,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-14-43-57,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-14-54-41,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-15-20-21,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-15-25-48,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-15-40-33,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-16-06-35,6,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-16-38-31,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-17-16-42,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-17-22-09,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-17-43-54,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-17-49-22,8,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-18-34-47,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-18-46-58,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-19-16-21,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-02-19-44-14,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-07-18-46,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-07-24-52,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-07-30-22,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-07-54-19,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-07-59-47,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-08-14-18,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-08-23-33,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-03-08-59-26,2,10,FALSE,FALSE,FALSE,SCT,9500,FALSE,FALSE
1_2022-09-03-09-10-22,2,10,FALSE,FALSE,FALSE,SCT,9500,FALSE,FALSE
1_2022-09-03-09-15-50,4,10,FALSE,FALSE,FALSE,SCT,9500,FALSE,FALSE
1_2022-09-03-09-26-44,4,10,FALSE,FALSE,FALSE,SCT,9500,FALSE,FALSE
1_2022-09-03-09-33-07,3,10,FALSE,FALSE,FALSE,SCT,9500,FALSE,FALSE
1_2022-09-03-10-09-52,2,10,FALSE,FALSE,FALSE,FEW,3000,FALSE,FALSE
1_2022-09-03-10-15-13,4,10,FALSE,FALSE,FALSE,FEW,3000,FALSE,FALSE
1_2022-09-03-10-24-15,1,10,FALSE,FALSE,FALSE,FEW,3000,FALSE,FALSE
1_2022-09-03-11-07-25,6,10,FALSE,FALSE,FALSE,FEW,4100,FALSE,FALSE
1_2022-09-03-11-34-30,6,10,FALSE,FALSE,FALSE,FEW,4100,FALSE,FALSE
1_2022-09-03-14-19-28,4,10,FALSE,FALSE,FALSE,OVC,11000,FALSE,FALSE
1_2022-09-03-15-57-58,4,9,FALSE,FALSE,FALSE,BKN,9500,FALSE,FALSE
1_2022-09-03-16-47-54,1,9,FALSE,FALSE,FALSE,BKN,9500,FALSE,FALSE
1_2022-09-03-17-13-04,1,9,FALSE,FALSE,FALSE,BKN,9000,FALSE,FALSE
1_2022-09-03-18-04-33,1,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-03-18-09-37,3,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-04-09-02-50,2,9,FALSE,FALSE,FALSE,BKN,11000,FALSE,FALSE
1_2022-09-04-13-35-42,1,7,FALSE,FALSE,FALSE,BKN,12000,FALSE,FALSE
1_2022-09-04-14-43-28,2,9,FALSE,FALSE,FALSE,OVC,11000,FALSE,FALSE
1_2022-09-04-18-58-32,1,7,FALSE,FALSE,FALSE,SCT,8500,FALSE,FALSE
1_2022-09-05-10-24-09,2,6,TRUE,FALSE,FALSE,SCT,600,TRUE,FALSE
1_2022-09-07-18-39-43,5,10,FALSE,FALSE,FALSE,OVC,1400,FALSE,FALSE
1_2022-09-08-09-35-27,3,10,FALSE,FALSE,FALSE,SCT,3400,FALSE,FALSE
1_2022-09-08-10-55-37,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-11-18-29,3,10,FALSE,FALSE,FALSE,FEW,4400,FALSE,FALSE
1_2022-09-08-11-22-20,2,10,FALSE,FALSE,FALSE,FEW,4400,FALSE,FALSE
1_2022-09-08-14-36-22,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-14-42-55,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-14-53-50,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-15-10-12,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-15-26-34,7,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-15-43-01,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-15-48-29,6,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-15-53-55,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
